,,keep,#,Company,Symbol,Weight,Price,Chg,% Chg,Permno,,,,,,,
,,X,1,Apple Inc.,AAPL,6.83758,175.5,0.42,-0.24%,14593,AAPL,,,,,,
,,X,2,Microsoft Corporation,MSFT,5.925804,318.64,3.66,-1.16%,10107,MSFT,,,,,,
,,X,3,Amazon.com Inc.,AMZN,3.61459,"3,306.25",-0.99,(-0.03%),84788,AMZN,,,,,,
,,X,4,Tesla Inc,TSLA,2.169577,"1,108.24",43.84,-4.12%,93436,TSLA,,,,,,
,,,5,Alphabet Inc. Class A,GOOGL,2.106545,"2,834.50",39.78,-1.42%,90319,GOOGL,,,,,,
,,,6,Meta Platforms Inc. Class A,FB,1.982544,333.63,-0.74,(-0.22%),51772,87208,13407,81059,FB,,,
,,,7,Alphabet Inc. Class C,GOOG,1.961877,"2,836.94",36.59,-1.31%,90319,14542,GOOG,,,,,
,,,8,NVIDIA Corporation,NVDA,1.742619,280.36,2.19,-0.79%,86580,NVDA,,,,,,
,,,9,Berkshire Hathaway Inc. Class B,BRK.B,1.467489,320.7,0.9,-0.28%,,BRK.B,,,,,,
,,,10,JPMorgan Chase & Co.,JPM,1.24024,168.65,1.16,-0.69%,48071,47896,JPM,,,,,
,,X,11,Johnson & Johnson,JNJ,1.129692,169.8,-1.46,(-0.85%),22111,JNJ,,,,,,
,,X,12,UnitedHealth Group Incorporated,UNH,1.10687,475.48,6.48,-1.38%,92655,UNH,,,,,,
,,,13,Home Depot Inc.,HD,1.022524,390.28,3.61,-0.93%,57859,66181,20896,HD,,,,
,,,14,Procter & Gamble Company,PG,0.962413,159.01,0.35,-0.22%,18163,PG,,,,,,
,,,15,Visa Inc. Class A,V,0.900832,215.77,1.39,-0.65%,46842,92611,88614,23675,54332,75817,V,
,,,16,Bank of America Corp,BAC,0.887966,48.9,-0.31,(-0.63%),59408,54893,58827,BAC,,,,
,,,17,Mastercard Incorporated Class A,MA,0.797365,366.44,0.15,-0.04%,13100,91233,MA,,,,,
,,,18,Pfizer Inc.,PFE,0.797327,56.6,-0.09,(-0.16%),21936,PFE,,,,,,
,,,19,Exxon Mobil Corporation,XOM,0.756906,71.14,-0.21,(-0.29%),11850,XOM,,,,,,
,,,20,Walt Disney Company,DIS,0.718926,157.85,-0.04,(-0.03%),26403,DIS,,,,,,
,,,21,Cisco Systems Inc.,CSCO,0.659157,62.18,-0.2,(-0.31%),25559,76076,CSCO,,,,,
,,,22,Broadcom Inc.,AVGO,0.641596,627,4.95,-0.80%,88618,93002,AVGO,,,,,
,,,23,Adobe Inc.,ADBE,0.630871,532.7,2.81,-0.53%,75510,10859,ADBE,,,,,
,,,24,Chevron Corporation,CVX,0.61871,127.65,-0.32,(-0.25%),23210,14541,CVX,,,,,
,,,25,Thermo Fisher Scientific Inc.,TMO,0.612687,625.2,4.7,-0.76%,62092,TMO,,,,,,
,,,26,AbbVie Inc.,ABBV,0.606769,137.6,0.63,-0.46%,13721,ABBV,,,,,,
,,,27,PepsiCo Inc.,PEP,0.603154,173.9,-0.19,(-0.11%),13856,PEP,,,,,,
,,,28,Abbott Laboratories,ABT,0.60117,134,-1.7,(-1.25%),20482,ABT,,,,,,
,,,29,Netflix Inc.,NFLX,0.600316,536.99,-3.85,(-0.71%),89393,NFLX,,,,,,
,,,30,Accenture Plc Class A,ACN,0.594425,377.19,2.08,-0.55%,89071,69198,18825,75469,ACN,,,
,,X,31,Coca-Cola Company,KO,0.588856,60.62,0.17,-0.28%,11308,KO,,,,,,
,,,32,Comcast Corporation Class A,CMCSA,0.585321,51.11,-0.04,(-0.07%),89525,25022,CMCSA,,,,,
,,,33,Costco Wholesale Corporation,COST,0.577955,526.8,4.77,-0.91%,87055,25225,COST,,,,,
,,,34,salesforce.com inc.,CRM,0.57612,237.32,2.48,-1.06%,67440,90215,50868,79059,CRM,,,
,,,35,Intel Corporation,INTC,0.569784,55.75,-0.16,(-0.29%),59328,INTC,,,,,,
,,,36,PayPal Holdings Inc.,PYPL,0.563855,187.62,-3.9,(-2.04%),15488,89311,PYPL,,,,,
,,,37,Wells Fargo & Company,WFC,0.560029,56.44,0.38,-0.68%,50024,38703,WFC,,,,,
,,,38,Verizon Communications Inc.,VZ,0.555959,53.53,-0.06,(-0.11%),65875,VZ,,,,,,
,,X,39,Eli Lilly and Company,LLY,0.521891,256,-6.32,(-2.41%),50876,LLY,,,,,,
,,,40,Qualcomm Inc,QCOM,0.520306,186.59,1.19,-0.64%,77178,QCOM,,,,,,
,,X,41,Merck & Co. Inc.,MRK,0.516628,81.11,-0.56,(-0.69%),22752,MRK,,,,,,
,,,42,Walmart Inc.,WMT,0.514957,143.42,-0.78,(-0.54%),55976,WMT,,,,,,
,,,43,McDonald's Corporation,MCD,0.490814,261,-1.12,(-0.43%),43449,34219,MCD,,,,,
,,,44,Danaher Corporation,DHR,0.486572,306.63,1.3,-0.43%,49680,DHR,,,,,,
,,,45,NIKE Inc. Class B,NKE,0.48027,152.3,2,-1.33%,57665,NKE,,,,,,
,,,46,AT&T Inc.,T,0.469996,26.46,0.12,-0.46%,66093,10401,T,,,,,
,,X,47,Lowe's Companies Inc.,LOW,0.432856,252.19,2.69,-1.08%,61399,LOW,,,,,,
,,,48,Linde plc,LIN,0.432064,342,5.57,-1.66%,18143,14029,84169,40934,LIN,,,
,,,49,Texas Instruments Incorporated,TXN,0.427283,186.66,2.02,-1.09%,15579,TXN,,,,,,
,,,50,NextEra Energy Inc.,NEE,0.416885,85.5,0.71,-0.84%,24205,NEE,,,,,,
,,,51,Advanced Micro Devices Inc.,AMD,0.416187,137.47,0.16,-0.12%,61241,AMD,,,,,,
,,,52,Intuit Inc.,INTU,0.409769,577.89,-0.83,(-0.14%),78975,INTU,,,,,,
,,,53,Union Pacific Corporation,UNP,0.396932,247,0.58,-0.24%,48725,UNP,,,,,,
,,,54,Philip Morris International Inc.,PM,0.393344,101.44,0.45,-0.45%,35529,92602,77392,PM,,,,
,,,55,United Parcel Service Inc. Class B,UPS,0.38602,211.5,0.23,-0.11%,87447,75022,UPS,,,,,
,,,56,Morgan Stanley,MS,0.380977,103.45,-2.47,(-2.33%),69032,15544,82621,MS,,,,
,,,57,Honeywell International Inc.,HON,0.373189,218.25,1.94,-0.90%,10145,18374,HON,,,,,
,,,58,Medtronic Plc,MDT,0.363843,108.9,1.01,-0.94%,34243,60097,MDT,,,,,
,,X,59,Bristol-Myers Squibb Company,BMY,0.363619,64.82,-0.66,(-1.01%),19393,BMY,,,,,,
,,,60,Oracle Corporation,ORCL,0.357563,88.39,-0.09,(-0.10%),10104,ORCL,,,,,,
,,,61,Charles Schwab Corporation,SCHW,0.353771,94.13,0.22,-0.23%,75186,SCHW,,,,,,
,,,62,CVS Health Corporation,CVS,0.349686,106.23,0.19,-0.18%,75028,17005,CVS,,,,,
,,,63,Applied Materials Inc.,AMAT,0.344906,159.55,7.1,-4.66%,14702,AMAT,,,,,,
,,,64,Goldman Sachs Group Inc.,GS,0.34285,390.6,-12.45,(-3.09%),16424,86868,GS,,,,,
,,,65,Raytheon Technologies Corporation,RTX,0.341805,91.07,0.35,-0.39%,41996,88409,17830,RTX,,,,
,,,66,Citigroup Inc.,C,0.333648,67.41,0.3,-0.45%,70519,11260,C,,,,,
,,,67,Amgen Inc.,AMGN,0.329709,232.07,-0.31,(-0.13%),14008,AMGN,,,,,,
,,,68,BlackRock Inc.,BLK,0.317395,885.11,-3.08,(-0.35%),62519,77875,87267,BLK,,,,
,,X,69,Starbucks Corporation,SBUX,0.306575,103.77,-0.27,(-0.26%),77702,SBUX,,,,,,
,,X,70,Caterpillar Inc.,CAT,0.298118,223,3.05,-1.39%,18542,CAT,,,,,,
,,,71,International Business Machines Corporation,IBM,0.297925,133.28,0.41,-0.30%,12490,IBM,,,,,,
,,X,72,Boeing Company,BA,0.297734,217.22,1.2,-0.56%,19561,BA,,,,,,
,,,73,American Tower Corporation,AMT,0.296295,259.39,-1.1,(-0.42%),86111,10057,AMT,,,,,
,,,74,Intuitive Surgical Inc.,ISRG,0.292336,323.5,-4.52,(-1.38%),88352,ISRG,,,,,,
,,,75,ServiceNow Inc.,NOW,0.288443,573.39,-5.05,(-0.87%),13447,69526,NOW,,,,,
,,,76,Prologis Inc.,PLD,0.282643,153.24,0.25,-0.16%,38797,80406,85592,PLD,,,,
,,,77,General Electric Company,GE,0.279492,102.25,0.46,-0.45%,12060,GE,,,,,,
,,,78,Target Corporation,TGT,0.278259,225.78,-1.78,(-0.78%),26542,49154,TGT,,,,,
,,,79,Anthem Inc.,ANTM,0.276712,451.83,-1.9,(-0.42%),64397,89179,ANTM,,,,,
,,,80,ConocoPhillips,COP,0.276247,84.42,0.83,-0.99%,13928,26607,67854,COP,,,,
,,,81,American Express Company,AXP,0.275685,175.12,-0.27,(-0.15%),59176,AXP,,,,,,
,,,82,Deere & Company,DE,0.270217,376.63,-3.92,(-1.03%),19350,DE,,,,,,
,,,83,S&P Global Inc.,SPGI,0.265831,447.92,6.9,-1.56%,17478,SPGI,,,,,,
,,,84,Micron Technology Inc.,MU,0.265252,95.32,1.12,-1.19%,53613,MU,,,,,,
,,,85,3M Company,MMM,0.259063,180,1.02,-0.57%,22592,MMM,,,,,,
,,,86,Booking Holdings Inc.,BKNG,0.253604,"2,436.10",-33.32,(-1.35%),16839,86783,10906,75901,36506,BKNG,,
,,,87,Zoetis Inc. Class A,ZTS,0.252278,213,0.2,-0.09%,13788,ZTS,,,,,,
,,,88,Automatic Data Processing Inc.,ADP,0.248986,233.94,-1.34,(-0.57%),26331,44644,ADP,,,,,
,,,89,Ford Motor Company,F,0.239016,24.45,0.1,-0.39%,25785,F,,,,,,
,,,90,PNC Financial Services Group Inc.,PNC,0.237927,225.53,1.69,-0.76%,28433,60442,40360,PNC,,,,
,,,91,Lam Research Corporation,LRCX,0.237508,687,13.79,-2.05%,48486,LRCX,,,,,,
,,,92,Mondelez International Inc. Class A,MDLZ,0.235179,67.56,0.3,-0.45%,89006,MDLZ,,,,,,
,,,93,Analog Devices Inc.,ADI,0.233632,174.68,1.05,-0.60%,60871,55378,ADI,,,,,
,,,94,Altria Group Inc,MO,0.228236,49.49,0.01,-0.02%,13901,MO,,,,,,
,,,95,Gilead Sciences Inc.,GILD,0.22699,72.25,-0.12,(-0.17%),40361,77274,GILD,,,,,
,,,96,Stryker Corporation,SYK,0.225137,268.03,-0.14,(-0.05%),73139,SYK,,,,,,
,,,97,Lockheed Martin Corporation,LMT,0.224416,360.16,-3.99,(-1.09%),21178,LMT,,,,,,
,,,98,TJX Companies Inc,TJX,0.223954,73.41,-0.8,(-1.08%),40539,75098,TJX,,,,,
,,,99,General Motors Company,GM,0.223195,61.05,-0.41,(-0.67%),12369,12079,GM,,,,,
,,,100,Truist Financial Corporation,TFC,0.219245,66.45,0.79,-1.20%,75631,86470,75803,57891,71563,TFC,,
,,,101,Chubb Limited,CB,0.215283,197.82,-1.66,(-0.83%),56469,59192,79057,CB,,,,
,,,102,Marsh & McLennan Companies Inc.,MMC,0.210017,166.37,0.64,-0.39%,33910,45751,MMC,,,,,
,,,103,U.S. Bancorp,USB,0.209664,62.49,0.37,-0.60%,66157,USB,,,,,,
,,,104,Crown Castle International Corp,CCI,0.202821,189.42,1.83,-0.98%,86339,30074,47079,70519,CCI,,,
,,,105,CSX Corporation,CSX,0.201734,36.78,0.48,-1.32%,62148,CSX,,,,,,
,,,106,CME Group Inc. Class A,CME,0.200739,226.18,2.74,-1.23%,89626,10455,84387,CME,,,,
,,,107,Cigna Corporation,CI,0.19941,238.78,-1.36,(-0.57%),64186,52126,15819,CI,,,,
,,,108,Duke Energy Corporation,DUK,0.198659,103.62,0.39,-0.38%,27959,DUK,,,,,,
,,,109,Estee Lauder Companies Inc. Class A,EL,0.197547,345.55,4.98,-1.46%,82642,EL,,,,,,
,,,110,Sherwin-Williams Company,SHW,0.195924,321.59,-2.91,(-0.90%),36468,SHW,,,,,,
,,,111,Moderna Inc.,MRNA,0.19568,222.25,0.86,-0.39%,18312,80004,MRNA,,,,,
,,,112,Edwards Lifesciences Corporation,EW,0.190144,122.26,0.32,-0.26%,87657,EW,,,,,,
,,,113,Charter Communications Inc. Class A,CHTR,0.189737,613.98,1.88,-0.31%,71685,87378,12308,CHTR,,,,
,,,114,Becton Dickinson and Company,BDX,0.188063,261.91,0.17,-0.06%,39642,BDX,,,,,,
,,,115,Intercontinental Exchange Inc.,ICE,0.185874,133.48,1.53,-1.16%,75283,90993,ICE,,,,,
,,,116,Fidelity National Information Services Inc.,FIS,0.179354,117.51,-0.04,(-0.03%),28441,89003,FIS,,,,,
,,,117,Southern Company,SO,0.179184,67.78,0.13,-0.19%,18411,SO,,,,,,
,,,118,Colgate-Palmolive Company,CL,0.175494,83,-0.17,(-0.20%),18729,CL,,,,,,
,,,119,Illinois Tool Works Inc.,ITW,0.17502,246,1.87,-0.77%,56573,ITW,,,,,,
,,,120,Norfolk Southern Corporation,NSC,0.174634,288.18,1.76,-0.61%,28193,64311,NSC,,,,,
,,,121,Equinix Inc.,EQIX,0.172225,764.46,-2.42,(-0.32%),89617,88519,33284,EQIX,,,,
,,,122,Capital One Financial Corporation,COF,0.169013,161.6,3.09,-1.95%,81055,44425,COF,,,,,
,,,123,Eaton Corp. Plc,ETN,0.167272,171.46,3.7,-2.21%,11762,ETN,,,,,,
,,,124,Illumina Inc.,ILMN,0.166025,422.07,-1.73,(-0.41%),88446,ILMN,,,,,,
,,,125,Air Products and Chemicals Inc.,APD,0.164762,298.82,1.28,-0.43%,28222,APD,,,,,,
,,,126,Regeneron Pharmaceuticals Inc.,REGN,0.164654,632.29,6.2,-0.99%,76614,REGN,,,,,,
,,,127,Fiserv Inc.,FISV,0.163206,108.94,-0.53,(-0.48%),10696,FISV,,,,,,
,,,128,T-Mobile US Inc.,TMUS,0.162819,111.32,0.35,-0.32%,91937,TMUS,,,,,,
,,,129,KLA Corporation,KLAC,0.162602,433.86,8.25,-1.94%,46886,KLAC,,,,,,
,,,130,Dominion Energy Inc,D,0.160035,78.79,-0.34,(-0.43%),64936,19406,19203,D,,,,
,,,131,Progressive Corporation,PGR,0.159432,109.85,0.93,-0.85%,64390,PGR,,,,,,
,,,132,Aon Plc Class A,AON,0.158833,287.7,0,0.00%,61735,AON,,,,,,
,,,133,Freeport-McMoRan Inc.,FCX,0.157925,45.18,2.19,-5.08%,81774,75294,FCX,,,,,
,,,134,FedEx Corporation,FDX,0.157325,257.03,1.49,-0.58%,60628,FDX,,,,,,
,,,135,Boston Scientific Corporation,BSX,0.154588,44.41,1.01,-2.33%,77605,BSX,,,,,,
,,,136,Waste Management Inc.,WM,0.154505,160.7,1.24,-0.78%,11955,15317,81593,WM,,,,
,,,137,NXP Semiconductors NV,NXPI,0.150929,230,2.46,-1.08%,12084,NXPI,,,,,,
,,,138,Northrop Grumman Corporation,NOC,0.150779,395.53,-5.07,(-1.27%),24766,NOC,,,,,,
,,,139,HCA Healthcare Inc,HCA,0.150207,249.3,-1.03,(-0.41%),77370,12622,14461,51561,17347,76171,HCA,
,,,140,EOG Resources Inc.,EOG,0.149277,102.76,0.56,-0.55%,75825,EOG,,,,,,
,,,141,Moody's Corporation,MCO,0.149007,372.9,5.04,-1.37%,48506,34067,69526,79543,MCO,,,
,,,142,Autodesk Inc.,ADSK,0.148931,270.5,-0.13,(-0.05%),85631,ADSK,,,,,,
,,,143,Emerson Electric Co.,EMR,0.144135,98,1.62,-1.68%,22103,EMR,,,,,,
,,,144,Vertex Pharmaceuticals Incorporated,VRTX,0.144079,226.9,0.75,-0.33%,76744,81227,VRTX,,,,,
,,,145,Johnson Controls International plc,JCI,0.141736,80.03,0.47,-0.59%,45356,42534,JCI,,,,,
,,,146,Ecolab Inc.,ECL,0.141109,226.49,-0.13,(-0.06%),42454,70578,ECL,,,,,
,,,147,Public Storage,PSA,0.138337,367.43,4.58,-1.26%,64653,42112,76480,PSA,,,,
,,,148,Exelon Corporation,EXC,0.136052,56.04,0.42,-0.76%,21776,41785,66149,EXC,,,,
,,,149,Dollar General Corporation,DG,0.135078,227.75,-0.9,(-0.39%),10559,30382,93096,DG,,,,
,,,150,Simon Property Group Inc.,SPG,0.133029,161.93,0.1,-0.06%,75188,27676,80100,SPG,,,,
,,,151,TE Connectivity Ltd.,TEL,0.131472,160.7,0.44,-0.27%,57736,92157,14701,TEL,,,,
,,,152,Synopsys Inc.,SNPS,0.129945,340,-0.38,(-0.11%),77357,SNPS,,,,,,
,,,153,American International Group Inc.,AIG,0.128496,61.6,-0.17,(-0.28%),66800,AIG,,,,,,
,,,154,Activision Blizzard Inc.,ATVI,0.12811,64.89,-0.96,(-1.46%),79678,ATVI,,,,,,
,,X,155,Schlumberger NV,SLB,0.127626,36.45,-0.03,(-0.08%),14277,SLB,,,,,,
,,,156,Humana Inc.,HUM,0.125889,395.28,3.62,-0.92%,48653,HUM,,,,,,
,,,157,IQVIA Holdings Inc,IQV,0.124712,260.85,0.56,-0.22%,13911,IQV,,,,,,
,,,158,Xilinx Inc.,XLNX,0.124203,198.32,-2.2,(-1.10%),76201,XLNX,,,,,,
,,,159,IHS Markit Ltd.,INFO,0.123853,126.07,1.87,-1.51%,83382,44071,77104,14704,83884,INFO,,
,,,160,MetLife Inc.,MET,0.12385,67.62,-0.38,(-0.56%),75410,78222,28580,87842,MET,,,
,,,161,Amphenol Corporation Class A,APH,0.123617,82.88,0.27,-0.33%,77118,84769,47351,APH,,,,
,,,162,General Dynamics Corporation,GD,0.122186,211.93,0.35,-0.17%,12052,GD,,,,,,
,,,163,Newmont Corporation,NEM,0.121756,61.48,0.57,-0.94%,21207,NEM,,,,,,
,,,164,Roper Technologies Inc.,ROP,0.121391,464.52,4.24,-0.92%,20343,77338,ROP,,,,,
,,,165,Kimberly-Clark Corporation,KMB,0.120591,143.09,-0.05,(-0.03%),17750,KMB,,,,,,
,,,166,Bank of New York Mellon Corporation,BK,0.120049,63.5,0.43,-0.68%,18841,49656,BK,,,,,
,,,167,IDEXX Laboratories Inc.,IDXX,0.118131,551.6,-3.46,(-0.62%),76709,88832,IDXX,,,,,
,,,168,Microchip Technology Incorporated,MCHP,0.117642,85.68,1.07,-1.26%,78987,MCHP,,,,,,
,,X,169,Cadence Design Systems Inc.,CDNS,0.117154,170.18,0.95,-0.56%,11403,CDNS,,,,,,
,,,170,Centene Corporation,CNC,0.116708,80.32,0.3,-0.37%,28150,89269,86976,CNC,,,,
